sfari_humanID,sfari_geneticCategory,sfari_geneScore,sfari_syndromic,sfari_numberReports
ENSG00000183044,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000154263,Rare Single Gene Mutation,3,0,1
ENSG00000179869,"Rare Single Gene Mutation, Functional",3,0,6
ENSG00000064687,Rare Single Gene Mutation,3,0,4
ENSG00000159640,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000087085,Rare Single Gene Mutation,2,0,5
ENSG00000075624,"Rare Single Gene Mutation, Syndromic",1,1,5
ENSG00000077080,"Rare Single Gene Mutation, Syndromic",S,1,9
ENSG00000130402,Rare Single Gene Mutation,3,0,4
ENSG00000243989,"Rare Single Gene Mutation, Syndromic",S,1,9
,"Rare Single Gene Mutation, Genetic Association",2,0,7
ENSG00000138031,Rare Single Gene Mutation,2,0,2
ENSG00000173175,Rare Single Gene Mutation,3,0,7
ENSG00000156110,Rare Single Gene Mutation,3,0,2
ENSG00000101126,"Rare Single Gene Mutation, Syndromic, Functional",1,1,55
ENSG00000282608,"Rare Single Gene Mutation, Functional",3,0,2
ENSG00000239900,"Rare Single Gene Mutation, Syndromic",1,1,8
ENSG00000155966,"Rare Single Gene Mutation, Syndromic",1,0,17
ENSG00000157985,Rare Single Gene Mutation,3,0,8
ENSG00000035687,Rare Single Gene Mutation,3,0,3
ENSG00000135439,Rare Single Gene Mutation,2,0,5
ENSG00000186094,Rare Single Gene Mutation,3,0,3
ENSG00000187546,"Rare Single Gene Mutation, Genetic Association",3,0,7
ENSG00000092847,Rare Single Gene Mutation,2,0,7
ENSG00000126070,Rare Single Gene Mutation,3,0,5
ENSG00000134698,Rare Single Gene Mutation,2,0,3
ENSG00000180772,Rare Single Gene Mutation,3,0,5
ENSG00000126705,"Rare Single Gene Mutation, Syndromic",1,1,16
ENSG00000135541,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,19
ENSG00000127914,Rare Single Gene Mutation,2,0,5
ENSG00000184254,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000112294,"Rare Single Gene Mutation, Syndromic",1,1,12
ENSG00000116748,"Rare Single Gene Mutation, Genetic Association",2,0,3
ENSG00000145020,Rare Single Gene Mutation,2,0,1
ENSG00000145362,Rare Single Gene Mutation,1,0,20
ENSG00000151150,"Rare Single Gene Mutation, Genetic Association",1,0,27
ENSG00000167522,"Rare Single Gene Mutation, Syndromic",1,1,53
ENSG00000172650,Rare Single Gene Mutation,3,0,1
ENSG00000123908,Syndromic,2,0,1
ENSG00000124942,Rare Single Gene Mutation,2,0,5
ENSG00000185046,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000135046,Rare Single Gene Mutation,2,0,2
ENSG00000182287,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000034053,Rare Single Gene Mutation,3,0,7
ENSG00000166313,"Rare Single Gene Mutation, Functional",2,0,3
ENSG00000117362,Rare Single Gene Mutation,2,0,3
ENSG00000285077,Rare Single Gene Mutation,3,0,3
ENSG00000134909,"Rare Single Gene Mutation, Functional",3,0,7
ENSG00000100852,Rare Single Gene Mutation,3,0,5
ENSG00000104728,"Rare Single Gene Mutation, Functional",3,0,5
ENSG00000131089,"Rare Single Gene Mutation, Syndromic",1,1,14
ENSG00000049618,"Rare Single Gene Mutation, Syndromic, Functional",1,1,61
ENSG00000189079,"Rare Single Gene Mutation, Syndromic",S,1,10
ENSG00000172379,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",3,0,13
ENSG00000004848,"Rare Single Gene Mutation, Syndromic",1,1,22
ENSG00000151693,Rare Single Gene Mutation,2,0,3
ENSG00000239388,Rare Single Gene Mutation,3,0,4
ENSG00000116539,"Rare Single Gene Mutation, Syndromic, Functional",1,0,22
ENSG00000196433,"Rare Single Gene Mutation, Genetic Association",3,0,10
ENSG00000066279,"Rare Single Gene Mutation, Syndromic, Functional",2,0,8
ENSG00000148219,"Rare Single Gene Mutation, Genetic Association",2,0,17
ENSG00000141431,"Rare Single Gene Mutation, Syndromic",1,1,33
ENSG00000206190,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,9
ENSG00000163399,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000105409,"Rare Single Gene Mutation, Syndromic, Functional",S,1,19
ENSG00000157087,"Rare Single Gene Mutation, Genetic Association",2,0,10
ENSG00000185344,Rare Single Gene Mutation,3,0,3
ENSG00000085224,"Rare Single Gene Mutation, Syndromic",1,0,26
ENSG00000128271,Genetic Association,3,0,7
ENSG00000169252,Genetic Association,3,0,10
ENSG00000088035,Syndromic,S,1,1
ENSG00000132466,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000042753,Rare Single Gene Mutation,1,0,2
ENSG00000158321,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,48
,Genetic Association,3,0,6
ENSG00000166148,"Rare Single Gene Mutation, Genetic Association",2,0,24
ENSG00000198049,"Genetic Association, Functional",3,0,8
ENSG00000160862,Rare Single Gene Mutation,3,0,3
ENSG00000123636,Rare Single Gene Mutation,1,0,6
ENSG00000140463,"Rare Single Gene Mutation, Syndromic",3,0,5
ENSG00000064787,Rare Single Gene Mutation,3,0,4
ENSG00000103507,Rare Single Gene Mutation,1,0,5
ENSG00000119866,"Rare Single Gene Mutation, Syndromic, Functional",1,1,22
ENSG00000085185,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000115760,Rare Single Gene Mutation,3,0,11
ENSG00000157764,"Rare Single Gene Mutation, Syndromic",1,1,13
ENSG00000139618,Rare Single Gene Mutation,3,0,5
ENSG00000141867,"Rare Single Gene Mutation, Syndromic",3,0,4
ENSG00000174672,"Rare Single Gene Mutation, Syndromic",1,0,5
ENSG00000165288,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000109743,"Genetic Association, Functional",3,0,5
ENSG00000095564,Rare Single Gene Mutation,2,0,7
ENSG00000166167,Rare Single Gene Mutation,3,0,3
ENSG00000111678,"Rare Single Gene Mutation, Syndromic",S,1,11
ENSG00000188277,Rare Single Gene Mutation,3,0,2
ENSG00000224389,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,6
ENSG00000131686,Rare Single Gene Mutation,3,0,6
ENSG00000141837,"Rare Single Gene Mutation, Genetic Association",S,1,22
ENSG00000148408,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,9
ENSG00000151067,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,50
ENSG00000157388,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,22
ENSG00000198216,Rare Single Gene Mutation,1,0,15
ENSG00000102001,"Rare Single Gene Mutation, Genetic Association",3,0,8
ENSG00000006283,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,20
ENSG00000196557,Rare Single Gene Mutation,2,0,27
ENSG00000100346,"Rare Single Gene Mutation, Genetic Association",3,0,7
ENSG00000153956,Rare Single Gene Mutation,3,0,3
ENSG00000157445,Rare Single Gene Mutation,1,0,8
ENSG00000165995,"Rare Single Gene Mutation, Genetic Association",2,0,6
ENSG00000182985,Rare Single Gene Mutation,3,0,10
ENSG00000175161,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000163618,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000081803,"Rare Single Gene Mutation, Functional",3,0,12
ENSG00000070808,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",S,1,9
ENSG00000058404,"Rare Single Gene Mutation, Syndromic",S,1,7
ENSG00000152495,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000182472,Rare Single Gene Mutation,3,0,6
ENSG00000135387,"Rare Single Gene Mutation, Functional",1,0,4
ENSG00000198286,Rare Single Gene Mutation,3,0,1
ENSG00000147044,"Rare Single Gene Mutation, Syndromic",1,0,20
ENSG00000130940,Rare Single Gene Mutation,1,0,5
ENSG00000132024,"Rare Single Gene Mutation, Functional",2,0,14
ENSG00000162670,"Rare Single Gene Mutation, Functional",3,0,2
ENSG00000067191,Rare Single Gene Mutation,3,0,1
ENSG00000015133,Rare Single Gene Mutation,3,0,6
ENSG00000123106,Rare Single Gene Mutation,3,0,4
ENSG00000185972,Rare Single Gene Mutation,3,0,2
ENSG00000113328,Rare Single Gene Mutation,2,0,1
ENSG00000090061,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000184305,Rare Single Gene Mutation,3,0,2
ENSG00000115484,Rare Single Gene Mutation,2,0,3
ENSG00000103855,Rare Single Gene Mutation,3,0,2
ENSG00000004468,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,9
ENSG00000102181,Genetic Association,3,0,1
ENSG00000198752,"Rare Single Gene Mutation, Syndromic",2,0,10
ENSG00000040731,"Rare Single Gene Mutation, Genetic Association",3,0,10
ENSG00000140937,"Rare Single Gene Mutation, Functional",3,0,6
ENSG00000140945,Rare Single Gene Mutation,2,0,4
ENSG00000063169,Syndromic,2,0,1
ENSG00000135127,Genetic Association,3,0,2
ENSG00000149654,Genetic Association,3,0,4
ENSG00000150394,Rare Single Gene Mutation,3,0,10
ENSG00000113100,"Rare Single Gene Mutation, Genetic Association",3,0,7
ENSG00000065883,"Rare Single Gene Mutation, Syndromic",S,1,14
ENSG00000132964,"Rare Single Gene Mutation, Syndromic",S,1,3
ENSG00000008086,"Rare Single Gene Mutation, Syndromic",1,1,42
ENSG00000099954,Rare Single Gene Mutation,3,0,2
ENSG00000101489,"Rare Single Gene Mutation, Functional",1,0,13
ENSG00000140488,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000174799,"Rare Single Gene Mutation, Syndromic",2,0,6
ENSG00000198707,"Rare Single Gene Mutation, Syndromic",S,1,9
ENSG00000106477,"Rare Single Gene Mutation, Syndromic",2,0,5
ENSG00000128849,Rare Single Gene Mutation,2,0,4
ENSG00000198824,"Rare Single Gene Mutation, Syndromic",1,0,10
ENSG00000153922,Rare Single Gene Mutation,S,1,5
ENSG00000173575,"Rare Single Gene Mutation, Syndromic",1,1,59
ENSG00000170004,"Rare Single Gene Mutation, Syndromic",1,1,10
ENSG00000171316,"Rare Single Gene Mutation, Syndromic, Functional",1,1,32
ENSG00000100888,"Rare Single Gene Mutation, Syndromic, Functional",1,1,70
ENSG00000155111,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000064309,Rare Single Gene Mutation,3,0,1
ENSG00000100288,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000131165,"Rare Single Gene Mutation, Syndromic",2,0,5
ENSG00000133019,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000175344,Rare Single Gene Mutation,2,0,15
ENSG00000147432,Rare Single Gene Mutation,3,0,3
ENSG00000136425,Rare Single Gene Mutation,2,0,1
ENSG00000079432,"Rare Single Gene Mutation, Functional",1,1,7
ENSG00000074054,Rare Single Gene Mutation,2,0,3
ENSG00000073464,"Rare Single Gene Mutation, Syndromic",S,1,7
ENSG00000182372,"Rare Single Gene Mutation, Syndromic",3,0,3
ENSG00000070371,Rare Single Gene Mutation,3,0,6
ENSG00000153815,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000134326,Rare Single Gene Mutation,3,0,2
ENSG00000170289,Rare Single Gene Mutation,3,0,3
ENSG00000149970,"Rare Single Gene Mutation, Syndromic, Functional",S,1,11
ENSG00000088038,"Rare Single Gene Mutation, Syndromic",1,1,12
ENSG00000118432,"Rare Single Gene Mutation, Genetic Association",2,0,7
ENSG00000113805,Rare Single Gene Mutation,3,0,5
ENSG00000144619,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,24
ENSG00000149972,"Rare Single Gene Mutation, Genetic Association",2,0,10
ENSG00000134115,"Rare Single Gene Mutation, Genetic Association",2,0,14
ENSG00000174469,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,76
ENSG00000106714,"Rare Single Gene Mutation, Functional",2,0,6
ENSG00000152910,"Rare Single Gene Mutation, Functional",2,0,11
ENSG00000155052,"Rare Single Gene Mutation, Genetic Association",3,0,13
ENSG00000215018,Rare Single Gene Mutation,3,0,3
ENSG00000157184,Rare Single Gene Mutation,3,0,2
ENSG00000109625,Rare Single Gene Mutation,3,0,3
ENSG00000005339,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,33
