"refseq"	"group"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001159630"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_001379184"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_013883"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355423"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001355424"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379186"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_001379185"	"Depleted"
"NM_010302"	"Depleted"
"NM_010302"	"Depleted"
"NM_010302"	"Depleted"
"NM_010302"	"Depleted"
"NM_010302"	"Depleted"
"NM_010302"	"Depleted"
"NM_025665"	"Enriched"
"NM_025665"	"Enriched"
"NM_025665"	"Enriched"
"NM_025665"	"Enriched"
"NM_025665"	"Enriched"
"NM_025665"	"Enriched"
"NM_019776"	"Depleted"
"NM_019776"	"Depleted"
"NM_019776"	"Depleted"
"NM_019776"	"Depleted"
"NM_019776"	"Depleted"
"NM_019776"	"Depleted"
"NM_019776"	"Depleted"
"NM_019776"	"Depleted"
"NM_019776"	"Depleted"
"NM_001331181"	"Enriched"
"NM_001331181"	"Enriched"
"NM_001331181"	"Enriched"
"NM_025960"	"Enriched"
"NM_025960"	"Enriched"
"NM_025960"	"Enriched"
"NM_001331181"	"Enriched"
"NM_001331181"	"Enriched"
"NM_001331181"	"Enriched"
"NM_025960"	"Enriched"
"NM_025960"	"Enriched"
"NM_025960"	"Enriched"
"NM_001331181"	"Enriched"
"NM_001331181"	"Enriched"
"NM_001331181"	"Enriched"
"NM_025960"	"Enriched"
"NM_025960"	"Enriched"
"NM_025960"	"Enriched"
"NM_001331181"	"Enriched"
"NM_001331181"	"Enriched"
