motif_id	motif_rbps	absolute_hits	relative_hits	total_sites	one_hit	two_hits	three_hits	four_hits	five_hits	more_hits
M001_0.6	A1CF	60	0.000274448815295947	218620	34	5	2	0	1	1
M002_0.6	ANKHD1, ANKRD17, ENSG00000249536	14	6.40380569023877e-05	218620	14	0	0	0	0	0
M004_0.6	BRUNOL4, CELF3	159	0.00072728936053426	218620	20	11	15	3	3	9
M012_0.6	CPEB3, CPEB2	172	0.000786753270515049	218620	22	8	14	13	4	4
M013_0.6	DAZAP1	39	0.000178391729942366	218620	19	4	4	0	0	0
M016_0.6	FMR1	74	0.000338486872198335	218620	23	12	5	3	0	0
M017_0.6	RBFOX2, RBFOX3	53	0.000242429786844753	218620	29	3	6	0	0	0
M019_0.6	SRSF12, Fusip1, BX511012.1	138	0.000631232275180679	218620	25	9	9	12	2	2
M020_0.6	FXR2	34	0.00015552099533437	218620	18	8	0	0	0	0
M021_0.6	G3BP2	69	0.000315616137590339	218620	25	22	0	0	0	0
M022_0.6	HNRNPA1, HNRNPA3, ENSG00000215492, ENSG00000231942	54	0.000247003933766353	218620	35	5	3	0	0	0
M023_0.6	HNRNPA1L2, HNRNPA3, ENSG00000215492, ENSG00000231942	49	0.000224133199158357	218620	23	7	4	0	0	0
M024_0.6	HNRNPA2B1, HNRNPA3, ENSG00000215492	59	0.000269874668374348	218620	29	6	6	0	0	0
M025_0.6	HNRNPC	282	0.00128990943189095	218620	12	16	4	4	5	37
M026_0.6	hnRNPK	65	0.000297319549903943	218620	24	14	3	1	0	0
M027_0.6	HNRNPL, ENSG00000215042	114	0.0005214527490623	218620	33	9	3	1	6	4
M031_0.6	ELAVL1, ELAVL3	306	0.00139968895800933	218620	23	6	4	11	2	41
M032_0.6	IGF2BP2	114	0.0005214527490623	218620	30	17	8	4	1	1
M033_0.6	KHDRBS3	41	0.000187633574511123	218511	26	6	1	0	0	0
M035_0.6	LIN28A, LIN28B	77	0.000352209312963132	218620	36	11	5	1	0	0
M036_0.6	MATR3	64	0.000292745402982344	218620	29	13	3	0	0	0
M037_0.6	MBNL3, MBNL2, MBNL1	55	0.000251578080687952	218620	24	10	2	0	1	0
