motif_id	motif_rbps	absolute_hits	relative_hits	total_sites	one_hit	two_hits	three_hits	four_hits	five_hits	more_hits
M001_0.6	A1CF	9	0.00027079885662705	33235	7	1	0	0	0	0
M002_0.6	ANKHD1, ANKRD17, ENSG00000249536	3	9.02662855423499e-05	33235	1	1	0	0	0	0
M004_0.6	BRUNOL4, CELF3	18	0.0005415977132541	33235	12	0	2	0	0	0
M012_0.6	CPEB3, CPEB2	19	0.00057168647510155	33235	6	4	0	0	1	0
M013_0.6	DAZAP1	1	3.008876184745e-05	33235	1	0	0	0	0	0
M016_0.6	FMR1	14	0.0004212426658643	33235	8	0	2	0	0	0
M017_0.6	RBFOX2, RBFOX3	11	0.00033097638032195	33235	5	0	2	0	0	0
M019_0.6	SRSF12, Fusip1, BX511012.1	18	0.0005415977132541	33235	4	1	0	3	0	0
M020_0.6	FXR2	6	0.0001805325710847	33235	6	0	0	0	0	0
M021_0.6	G3BP2	8	0.0002407100947796	33235	4	2	0	0	0	0
M022_0.6	HNRNPA1, HNRNPA3, ENSG00000215492, ENSG00000231942	2	6.01775236949e-05	33235	2	0	0	0	0	0
M023_0.6	HNRNPA1L2, HNRNPA3, ENSG00000215492, ENSG00000231942	0	0	33235	0	0	0	0	0	0
M024_0.6	HNRNPA2B1, HNRNPA3, ENSG00000215492	3	9.02662855423499e-05	33235	3	0	0	0	0	0
M025_0.6	HNRNPC	56	0.0016849706634572	33235	5	0	2	0	2	7
M026_0.6	hnRNPK	9	0.00027079885662705	33235	3	0	2	0	0	0
M027_0.6	HNRNPL, ENSG00000215042	10	0.0003008876184745	33235	10	0	0	0	0	0
M031_0.6	ELAVL1, ELAVL3	61	0.00183541447269445	33235	7	2	1	3	0	7
M032_0.6	IGF2BP2	19	0.00057168647510155	33235	8	4	1	0	0	0
M033_0.6	KHDRBS3	14	0.000421979081894083	33177	10	2	0	0	0	0
M035_0.6	LIN28A, LIN28B	7	0.00021062133293215	33235	3	2	0	0	0	0
M036_0.6	MATR3	8	0.0002407100947796	33235	8	0	0	0	0	0
M037_0.6	MBNL3, MBNL2, MBNL1	13	0.00039115390401685	33235	7	3	0	0	0	0
M040_0.6	MSI1, MSI2	1	3.008876184745e-05	33235	1	0	0	0	0	0
M042_0.6	PABPC4, PABPC1L, ENSG00000250177	30	0.000902662855423499	33235	4	0	2	0	0	4
M043_0.6	PCBP4, PCBP3, PCBP2	29	0.000872574093576049	33235	11	0	0	2	0	2
M044_0.6	PPRC1	6	0.0001805325710847	33235	0	3	0	0	0	0
M046_0.6	QKI	5	0.00015044380923725	33235	5	0	0	0	0	0
M047_0.6	RBM28	13	0.00039115390401685	33235	9	2	0	0	0	0
M048_0.6	CIRBP, RBM3	0	0	33235	0	0	0	0	0	0
M049_0.6	RBM38	11	0.00033097638032195	33235	6	1	1	0	0	0
M050_0.6	RBM4B, RBM4, RBM4	3	9.02662855423499e-05	33235	3	0	0	0	0	0
M051_0.6	RBM41	10	0.0003008876184745	33235	4	3	0	0	0	0
M052_0.6	RBM46, RBM47	6	0.0001805325710847	33235	6	0	0	0	0	0
M053_0.6	RBM5	21	0.000631863998796449	33235	7	2	0	0	2	0
M054_0.6	RBM8A	1	3.008876184745e-05	33235	1	0	0	0	0	0
M055_0.6	RBMS2, RBMS3, ENSG00000213250	10	0.0003008876184745	33235	2	0	0	2	0	0
M056_0.6	SRSF3	1	3.008876184745e-05	33235	1	0	0	0	0	0
M061_0.6	SAMD4A, SAMD4B	21	0.000631863998796449	33235	11	0	0	0	2	0
M062_0.6	SART3	38	0.0011433729502031	33235	7	1	3	0	0	4
M065_0.6	SRSF9	17	0.00051150895140665	33235	7	2	2	0	0	0
M068_0.6	SNRNP70	6	0.0001805325710847	33235	2	2	0	0	0	0
M069_0.6	SNRPA, SNRPB2	18	0.0005415977132541	33235	6	6	0	0	0	0
M070_0.6	SRSF2, ENSG00000180771	12	0.000361696355909214	33177	4	1	2	0	0	0
M071_0.6	SRSF7	2	6.0282725984869e-05	33177	2	0	0	0	0	0
M072_0.6	SRSF9	12	0.0003610651421694	33235	6	0	2	0	0	0
M073_0.6	STAR-PAP	1	3.008876184745e-05	33235	1	0	0	0	0	0
M074_0.6	TARDBP	7	0.000210989540947042	33177	5	1	0	0	0	0
M075_0.6	TIA1	52	0.0015646156160674	33235	4	1	1	2	0	7
M077_0.6	U2AF2	54	0.0016247931397623	33235	4	1	1	0	2	7
M079_0.6	CELF3	12	0.0003610651421694	33235	8	2	0	0	0	0
M081_0.6	CSDA, YB-1	8	0.0002407100947796	33235	5	0	1	0	0	0
M082_0.6	YBX2, CSDA	10	0.0003008876184745	33235	2	4	0	0	0	0
M083_0.6	ZC3H10	8	0.0002407100947796	33235	2	0	2	0	0	0
M085_0.6	ZCRB1	4	0.000120565451969738	33177	4	0	0	0	0	0
M086_0.6	SRSF12, Fusip1, BX511012.1	9	0.00027079885662705	33235	1	1	2	0	0	0
