motif_id	motif_rbps	absolute_hits	relative_hits	total_sites	one_hit	two_hits	three_hits	four_hits	five_hits	more_hits
M001_0.6	A1CF	10044	0.000364065238576909	27588462	3565	1295	549	233	130	132
M002_0.6	ANKHD1, ANKRD17, ENSG00000249536	1544	5.59654249664226e-05	27588462	1314	97	8	3	0	0
M004_0.6	BRUNOL4, CELF3	22916	0.000830637097493873	27588462	3697	1959	1102	650	339	1540
M012_0.6	CPEB3, CPEB2	23673	0.000858076104423654	27588462	3615	2289	1522	806	559	979
M013_0.6	DAZAP1	4681	0.00016967237970714	27588462	2774	588	142	45	17	8
M016_0.6	FMR1	8937	0.000323939768733755	27588462	4028	1302	444	152	42	31
M017_0.6	RBFOX2, RBFOX3	8150	0.000295413350697114	27588462	3558	1176	404	162	50	26
M019_0.6	SRSF12, Fusip1, BX511012.1	17627	0.000638926519354359	27588462	3938	1854	928	528	284	733
M020_0.6	FXR2	5341	0.000193595424058072	27588462	3036	775	158	44	14	7
M021_0.6	G3BP2	7353	0.000266524462291519	27588462	3809	1065	298	80	24	16
M022_0.6	HNRNPA1, HNRNPA3, ENSG00000215492, ENSG00000231942	5836	0.000211537707321271	27588462	3245	787	198	77	13	10
M023_0.6	HNRNPA1L2, HNRNPA3, ENSG00000215492, ENSG00000231942	5745	0.000208239226963794	27588462	3190	785	181	73	20	10
M024_0.6	HNRNPA2B1, HNRNPA3, ENSG00000215492	6151	0.000222955523943306	27588462	3325	861	213	75	26	7
M025_0.6	HNRNPC	38784	0.00140580507894931	27588462	2186	1435	981	890	731	4714
M026_0.6	hnRNPK	7014	0.000254236716783995	27588462	3513	1049	269	99	24	16
M027_0.6	HNRNPL, ENSG00000215042	16337	0.000592167841759356	27588462	3254	1335	698	341	219	1172
M031_0.6	ELAVL1, ELAVL3	41535	0.00150552067744842	27588462	2730	1605	1091	838	751	5043
M032_0.6	IGF2BP2	15052	0.000545590399348829	27588462	3691	1719	862	433	252	469
M033_0.6	KHDRBS3	7333	0.000265983001245111	27569431	3956	968	275	104	25	15
M035_0.6	LIN28A, LIN28B	7934	0.000287583990727718	27588462	3888	1126	323	130	26	35
M036_0.6	MATR3	8461	0.000306686179171568	27588462	3872	1163	439	129	48	38
M037_0.6	MBNL3, MBNL2, MBNL1	6826	0.000247422273847669	27588462	3415	1010	284	81	32	11
M040_0.6	MSI1, MSI2	4650	0.000168548721563384	27588462	2706	597	151	38	21	8
M042_0.6	PABPC4, PABPC1L, ENSG00000250177	30158	0.00109313813869001	27588462	2150	1264	898	669	554	3468
M043_0.6	PCBP4, PCBP3, PCBP2	19012	0.000689128665454421	27588462	3228	1713	1012	533	376	1062
M044_0.6	PPRC1	722	2.61703606384437e-05	27588462	230	87	40	17	4	22
M046_0.6	QKI	4178	0.000151440120148778	27588462	2688	492	115	24	6	7
M047_0.6	RBM28	6072	0.000220092008028574	27588462	3090	853	260	84	23	9
M048_0.6	CIRBP, RBM3	1788	6.48097019688883e-05	27588462	1448	147	12	0	1	1
M049_0.6	RBM38	20970	0.000760100363695519	27588462	3295	1724	961	631	377	1387
M050_0.6	RBM4B, RBM4, RBM4	802	2.90701235900718e-05	27588462	344	66	45	14	11	16
M051_0.6	RBM41	13403	0.000485819035508395	27588462	3968	1691	802	388	190	229
M052_0.6	RBM46, RBM47	7828	0.000283741804816811	27588462	3491	1066	368	139	54	55
M053_0.6	RBM5	11927	0.000432318409050856	27588462	4254	1724	664	277	105	120
M054_0.6	RBM8A	890	3.22598628368627e-05	27588462	266	99	23	33	20	25
M055_0.6	RBMS2, RBMS3, ENSG00000213250	12748	0.00046207722634194	27588462	2698	1026	632	393	253	653
M056_0.6	SRSF3	3211	0.000116389235470973	27588462	1628	253	122	59	45	50
M061_0.6	SAMD4A, SAMD4B	6377	0.000231147354281656	27588462	3441	810	273	83	30	3
M062_0.6	SART3	31417	0.00113877315814125	27588462	2648	1514	941	732	620	3378
M065_0.6	SRSF9	11920	0.000432064679792589	27588462	4182	1686	616	322	110	136
M068_0.6	SNRNP70	6546	0.00023727310351697	27588462	3455	947	265	58	17	17
M069_0.6	SNRPA, SNRPB2	7627	0.000276456150400845	27588462	3634	1086	360	109	34	27
M070_0.6	SRSF2, ENSG00000180771	11955	0.00043363245327769	27569431	4388	1701	658	269	113	110
M071_0.6	SRSF7	436	1.5814617283904e-05	27569431	389	13	7	0	0	0
M072_0.6	SRSF9	11413	0.000413687432086645	27588462	4345	1620	655	237	101	82
M073_0.6	STAR-PAP	3350	0.000121427573599427	27588462	2340	386	59	9	3	2
M074_0.6	TARDBP	7516	0.000272620787857392	27569431	3360	1121	363	115	36	37
M075_0.6	TIA1	32751	0.00118712670535965	27588462	1993	1302	974	773	644	3784
M077_0.6	U2AF2	36012	0.00130532829267539	27588462	2016	1524	947	758	654	4361
M079_0.6	CELF3	13908	0.000504123789140547	27588462	4181	1726	772	386	218	265
M081_0.6	CSDA, YB-1	5843	0.000211791436579538	27588462	3241	770	218	67	23	5
M082_0.6	YBX2, CSDA	7162	0.000259601278244507	27588462	3079	882	328	140	81	74
M083_0.6	ZC3H10	2001	7.25303208275981e-05	27588462	1512	163	26	15	0	5
M085_0.6	ZCRB1	7744	0.00028089081707925	27569431	3541	1033	384	120	66	35
M086_0.6	SRSF12, Fusip1, BX511012.1	13487	0.000488863786607604	27588462	3592	1501	720	367	179	474
M087_0.6	SRSF12, Fusip1, BX511012.1	18973	0.000687715031015502	27588462	4005	1980	978	596	338	800
M088_0.6	SRSF12, Fusip1, BX511012.1	12725	0.000461243544493347	27588462	4200	1702	748	313	132	193
M089_0.6	HNRNPL, ENSG00000215042	7279	0.000263842181561263	27588462	3602	932	315	107	36	52
M102_0.6	SRSF1	10780	0.000390743057731888	27588462	3912	1466	646	222	97	125
M103_0.6	SRSF1	10780	0.000390743057731888	27588462	3912	1466	646	222	97	125
M104_0.6	SRSF1	14717	0.000533447641988886	27588462	3978	1866	892	454	174	329
M105_0.6	SRSF1	16419	0.000595140098784775	27588462	4069	2013	981	544	245	396
M106_0.6	SRSF1	11590	0.000420393152111119	27569431	4425	1635	690	265	94	59
M108_0.6	ELAVL1, ELAVL3	23256	0.000842961090038292	27588462	3506	1917	1215	699	457	1438
M109_0.6	RBM4B, RBM4, RBM4	1880	6.81444293632606e-05	27588462	1092	176	55	34	5	22
M111_0.6	CSDA, YB-1	6272	0.000227341415407644	27588462	3273	906	222	94	18	11
M112_0.6	ELAVL1, ELAVL3	32775	0.00118799663424514	27588462	3482	2156	1411	1072	731	2561
M118_0.6	RBFOX2, RBFOX3	9439	0.000342371955373326	27569431	3905	1364	478	198	50	66
M120_0.6	CPEB3	15084	0.00054675030452948	27588462	4589	2034	886	456	181	208
M121_0.6	SRSF3	756	2.74027598928857e-05	27588462	707	22	0	0	0	1
M122_0.6	MEX3C, MEX3D, MEX3B	8417	0.000305301912106927	27569431	3864	1176	387	145	62	30
M124_0.6	ELAVL3	23142	0.000838828927832222	27588462	3831	1865	1196	807	529	1224
