motif_id	motif_rbps	enrichment	p_value	n	adj_p_value
682_10811881	NOVA2	1.75140489494294	5.24874686168677e-05	114312	0.00913281953933498
M085_0.6	ZCRB1	1.53150002287269	0.00140679953106682	4264	0.122391559202814
M235_0.6	RBM47	0.435902171084471	0.00256959314775161	2334	0.134536082474227
M112_0.6	ELAVL1, ELAVL3	0.712306042039864	0.00309278350515464	1939	0.134536082474227
948_10094314	SNRPA	1.4756819615342	0.00424328147100424	1413	0.147666195190948
M124_0.6	ELAVL3	0.654361827995615	0.00699300699300699	1000	0.19865848437277
1216_19457263	KHDRBS3	0.604769666574034	0.00799200799200799	1000	0.19865848437277
M062_0.6	SART3	0.718995080901513	0.011988011988012	1000	0.221233312142403
M146_0.6	PABPC1, PABPC1L, ENSG00000250177	0.718995080901513	0.011988011988012	1000	0.221233312142403
M164_0.6	RBMS2, RBMS3, ENSG00000213250	0.632088549568057	0.012987012987013	1000	0.221233312142403
M108_0.6	ELAVL1, ELAVL3	0.721695873940098	0.013986013986014	1000	0.221233312142403
M176_0.6	KHDRBS2	0.736716556818136	0.015984015984016	1000	0.231768231768232
M243_0.6	HNRNPR, SYNCRIP	0.78901164028699	0.037962037962038	1000	0.422149279292136
M121_0.6	SRSF3	0	0.043956043956044	1000	0.422149279292136
M161_0.6	RBM6	0.693916535508783	0.043956043956044	1000	0.422149279292136
M168_0.6	SFPQ, PSPC1	1.31518577012891	0.044955044955045	1000	0.422149279292136
1285_19304800	ZRANB2	0.608388626486594	0.044955044955045	1000	0.422149279292136
M160_0.6	KHDRBS1	0.794192791794096	0.045954045954046	1000	0.422149279292136
790_10094314	SFRS7	0.431288924517985	0.048951048951049	1000	0.422149279292136
M033_0.6	KHDRBS3	0.705434458716455	0.050949050949051	1000	0.422149279292136
147_19457263	KHDRBS3	0.8027361008045	0.050949050949051	1000	0.422149279292136
M061_0.6	SAMD4A, SAMD4B	0.65303299223075	0.0559440559440559	1000	0.442466624284806
1215_16041388	QKI	0.685648345894192	0.0639360639360639	1000	0.458901098901099
1169_19561594	SFRS13A	1.25141953599765	0.0649350649350649	1000	0.458901098901099
784_7972035	ELAVL2	0.832276525436485	0.0659340659340659	1000	0.458901098901099
M055_0.6	RBMS2, RBMS3, ENSG00000213250	0.702835831154358	0.0769230769230769	1000	0.504095904095904
M042_0.6	PABPC4, PABPC1L, ENSG00000250177	0.807592677103528	0.0809190809190809	1000	0.504095904095904
M109_0.6	RBM4B, RBM4, RBM4	0.335621485449347	0.0859140859140859	1000	0.504095904095904
M155_0.6	ZNF638	0.751068496578841	0.0869130869130869	1000	0.504095904095904
350_8846295	EIF4B	1.23912560930015	0.0869130869130869	1000	0.504095904095904
1171_19561594	PTBP1	0.838891355904471	0.0979020979020979	1000	0.513752913752914
244_7543047	SFRS2	0.661048920078021	0.0989010989010989	1000	0.513752913752914
952_7543047	SFRS1	0.739430969565248	0.0989010989010989	1000	0.513752913752914
M001_0.6	A1CF	0.753845152502714	0.103896103896104	1000	0.513752913752914
M079_0.6	CELF3	0.798464460062409	0.110889110889111	1000	0.513752913752914
1177_19561594	YBX1	0.55455729540163	0.113886113886114	1000	0.513752913752914
M102_0.6	SRSF1	1.21745292829418	0.114885114885115	1000	0.513752913752914
M141_0.6	ESRP2, ESRP1	0.803589451748495	0.115884115884116	1000	0.513752913752914
M205_0.6	SF3B4	1.24236958883252	0.115884115884116	1000	0.513752913752914
M240_0.6	RBM38	0.811746349215976	0.121878121878122	1000	0.513752913752914
M051_0.6	RBM41	0.800303116836613	0.123876123876124	1000	0.513752913752914
M035_0.6	LIN28A, LIN28B	1.2247180800012	0.124875124875125	1000	0.513752913752914
M127_0.6	ELAVL1, ELAVL3	0.85553451527428	0.130869130869131	1000	0.513752913752914
M188_0.6	PCBP4, PCBP3	1.15868454431083	0.131868131868132	1000	0.513752913752914
783_7972035	ELAVL2	0.870376468889111	0.132867132867133	1000	0.513752913752914
M103_0.6	SRSF1	1.21745292829418	0.138861138861139	1000	0.525257351344308
953_7543047	SFRS2	0.824883954260737	0.144855144855145	1000	0.536272238399898
M122_0.6	MEX3C, MEX3D, MEX3B	0.794461838108391	0.157842157842158	1000	0.572177822177822
M052_0.6	RBM46, RBM47	1.2251813449413	0.164835164835165	1000	0.574963498040421
M073_0.6	STAR-PAP	0.678055586125725	0.166833166833167	1000	0.574963498040421
M046_0.6	QKI	0.724903849855171	0.168831168831169	1000	0.574963498040421
M234_0.6	RBM47	0.748923908183705	0.171828171828172	1000	0.574963498040421
M088_0.6	SRSF12, Fusip1, BX511012.1	0.842944021607947	0.177822177822178	1000	0.58379356492564
149_16041388	QKI	0.707046607625249	0.184815184815185	1000	0.58551974341448
M229_0.6	CELF3	1.12408808816228	0.186813186813187	1000	0.58551974341448
M169_0.6	hnRNPLL	0.830409956283112	0.191808191808192	1000	0.58551974341448
M210_0.6	HNRPDL	0.760064134231702	0.191808191808192	1000	0.58551974341448
242_7543047	SFRS1	1.1706579979396	0.202797202797203	1000	0.608391608391608
23_7510636	HNRNPA1	1.21027420535857	0.214785214785215	1000	0.632835914085914
M201_0.6	SF3B4	0.886696926527276	0.220779220779221	1000	0.632835914085914
M111_0.6	CSDA, YB-1	1.20720993490709	0.225774225774226	1000	0.632835914085914
M056_0.6	SRSF3	0.628806869032473	0.230769230769231	1000	0.632835914085914
M238_0.6	RBM38	0.84034962198912	0.231768231768232	1000	0.632835914085914
M004_0.6	BRUNOL4, CELF3	0.875580157361832	0.232767232767233	1000	0.632835914085914
M260_0.6	CSDA	1.28541572671539	0.23976023976024	1000	0.633223918938205
