motif_id	motif_rbps	enrichment	p_value	p_value_n	adj_p_value
M061_0.6	SAMD4A, SAMD4B	2.73359823113751	4.999995000005e-07	2000001	2.8999971000029e-05
M334_0.6	SRSF4, SRSF6	4.54508799022182	4.999995000005e-07	2000001	2.8999971000029e-05
351_8846295	EIF4B	3.77033760570215	4.999995000005e-07	2000001	2.8999971000029e-05
M120_0.6	CPEB3	0.27515999166515	1.44137564891933e-05	416268	0.000626998407279908
M109_0.6	RBM4B, RBM4, RBM4	4.41543969603949	2.6253839624045e-05	228537	0.000913633618916767
M175_0.6	RBM24, RBM38	0.286578285871513	6.09304073197729e-05	98472	0.00173949844461514
M121_0.6	SRSF3	4.39207758124563	6.9979822484517e-05	85738	0.00173949844461514
M069_0.6	SNRPA, SNRPB2	1.95907275880394	8.17538935291793e-05	73390	0.00177814718425965
M177_0.6	PCBP4, PCBP1, PCBP3	1.91059365163574	9.67617081666882e-05	62007	0.0018707263578893
M083_0.6	ZC3H10	3.3187512757838	0.000182509505703422	32874	0.00317566539923954
M023_0.6	HNRNPA1L2, HNRNPA3, ENSG00000215492, ENSG00000231942	0	0.000315756236185665	19001	0.0049946895542096
M260_0.6	CSDA	2.32346788829999	0.000556431419827506	10782	0.00806825558749884
1004_8676391	NCL	1.96399101514896	0.0012237405669998	4902	0.0163792968198434
M153_0.6	LIN28A, LIN28B	2.02628802975286	0.00140548137737175	4268	0.0168343653250774
M044_0.6	PPRC1	6.89836007913094	0.00149290868375218	4018	0.0168343653250774
M170_0.6	RBM38	0.434912327727256	0.00159829515183804	3753	0.0168343653250774
M238_0.6	RBM38	0.371618427691292	0.00164473684210526	3647	0.0168343653250774
M240_0.6	RBM38	0.397661617769601	0.00189334174818555	3168	0.0183023035657936
682_10811881	NOVA2	1.8032958096957	0.00209937018894332	2857	0.0192258112040072
M145_0.6	RBM5	1.66667594998727	0.00286396181384248	2094	0.0249164677804296
M167_0.6	MSI1, MSI2	0.178516701689338	0.00352941176470588	1699	0.028856518975096
M022_0.6	HNRNPA1, HNRNPA3, ENSG00000215492, ENSG00000231942	0.284476580827767	0.00369458128078818	1623	0.028856518975096
M229_0.6	CELF3	0.478980223076446	0.00381436745073109	1572	0.028856518975096
1215_16041388	QKI	0.251508548794116	0.00479233226837061	1251	0.0316047588774861
M143_0.6	RBMS2, RBMS1, ENSG00000213250	0.245956344549755	0.00498753117206983	1202	0.0316047588774861
M013_0.6	DAZAP1	0.177334471876826	0.0051413881748072	1166	0.0316047588774861
M047_0.6	RBM28	1.77722902126491	0.00557620817843866	1075	0.0316047588774861
M089_0.6	HNRNPL, ENSG00000215042	0.342122267971737	0.0056232427366448	1066	0.0316047588774861
M112_0.6	ELAVL1, ELAVL3	0.633182809195594	0.00566037735849057	1059	0.0316047588774861
M024_0.6	HNRNPA2B1, HNRNPA3, ENSG00000215492	0.40486229695436	0.00599400599400599	1000	0.0316047588774861
M040_0.6	MSI1, MSI2	0.178516701689338	0.00599400599400599	1000	0.0316047588774861
M049_0.6	RBM38	0.435437734449674	0.00599400599400599	1000	0.0316047588774861
M127_0.6	ELAVL1, ELAVL3	0.584297802921241	0.00599400599400599	1000	0.0316047588774861
M053_0.6	RBM5	1.46157088286777	0.00699300699300699	1000	0.0328860328860329
M207_0.6	PCBP4, PCBP3	1.50550386097922	0.00699300699300699	1000	0.0328860328860329
M232_0.6	ELAVL1, ELAVL3	1.41033056713389	0.00699300699300699	1000	0.0328860328860329
951_12324455	ZFP36	0.521586520887893	0.00699300699300699	1000	0.0328860328860329
1177_19561594	YBX1	2.18601478791095	0.00799200799200799	1000	0.0356566510412664
954_10094314	SFRS7	0	0.00799200799200799	1000	0.0356566510412664
M108_0.6	ELAVL1, ELAVL3	0.606800192145777	0.00899100899100899	1000	0.0381569649862333
M150_0.6	RALY	1.38204964898817	0.00899100899100899	1000	0.0381569649862333
M085_0.6	ZCRB1	0.429225324000969	0.00999000999000999	1000	0.0404246915874823
661_1717938	SNRPA	0.384179485559814	0.00999000999000999	1000	0.0404246915874823
M033_0.6	KHDRBS3	1.58648891063989	0.010989010989011	1000	0.0434565434565435
M027_0.6	HNRNPL, ENSG00000215042	0.508112054144227	0.011988011988012	1000	0.0463536463536464
M071_0.6	SRSF7	3.81183590488934	0.012987012987013	1000	0.0480795799944736
M157_0.6	CELF3, BRUNOL5	0.643422421266931	0.012987012987013	1000	0.0480795799944736
M037_0.6	MBNL3, MBNL2, MBNL1	1.58091629316152	0.013986013986014	1000	0.0486713286713287
1169_19561594	SFRS13A	0.525436858015882	0.013986013986014	1000	0.0486713286713287
782_8497264	ELAVL2	1.31561508534386	0.013986013986014	1000	0.0486713286713287
23_7510636	HNRNPA1	0.404304376506201	0.014985014985015	1000	0.0505676142039778
M087_0.6	SRSF12, Fusip1, BX511012.1	0.612525023980179	0.015984015984016	1000	0.0505676142039778
M136_0.6	SNRPB2	0.480265988883616	0.015984015984016	1000	0.0505676142039778
784_7972035	ELAVL2	1.28063045780232	0.015984015984016	1000	0.0505676142039778
946_10094314	SNRPA	1.54471627291561	0.015984015984016	1000	0.0505676142039778
M148_0.6	PABPN1, PABPN1L	0.53724464013367	0.016983016983017	1000	0.0527686599115171
M073_0.6	STAR-PAP	0.247791839658335	0.018981018981019	1000	0.0579420579420579
