id_Symbol,id_Entrez,id_OMIM,id_humanID,id_HPRD,id_HGNC,id_Chromosome location,id_hPSD,id_Gene group,id_Main class,id_Accompanying phenotype,id_Inheritance pattern,id_Inheritance type,id_Limited confidence criterion,id_Disease type,id_Disease subtype,id_Haploinsufficiency,id_OMIM disease,id_Gene ontology-based annotation,id_Screened wing,id_Screened neuronal
ABCC9,10060,601439,ENSG00000069431,3258,60,12p12.1,0,ID data freeze 650,4,"F, S, U, V",Mendelian autosomal,dominant,0,"CANTU SYNDROME; CARDIOMYOPATHY, DILATED; ATRIAL FIBRILLATION, FAMILIAL","CANTU SYNDROME; CARDIOMYOPATHY, DILATED, 1O; CMD1O; ATRIAL FIBRILLATION, FAMILIAL, 12; ATFB12",0,239850; 608569; 614050,"ion transport, synapse, transporters",0,0
ABCD1,215,300371,ENSG00000101986,2300,61,Xq28,1,ID data freeze 388,"8a, 8b","G, H, K, L2, M, P",Mendelian X-linked,not sure,0,ADRENOLEUKODYSTROPHY,ADRENOLEUKODYSTROPHY; ALD,0,300100,"mitochondria, peroxisome, transporters",1,1
ABCD4,5826,603214,ENSG00000119688,4446,68,14q24.3,0,ID data freeze 650,5,"M, R",Mendelian autosomal,recessive,1,METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLJ TYPE; MAHCJ",0,614857,"peroxisome, transporters",0,0
ABHD5,51099,604780,ENSG00000011198,11986,21396,3p21,0,ID data freeze 388,8a,"M, Q, S",Mendelian autosomal,recessive,0,CHANARIN-DORFMAN SYNDROME,CHANARIN-DORFMAN SYNDROME; CDS,0,275630,metabolism,1,1
ACAD9,28976,611103,ENSG00000177646,12412,21497,3q21.3,0,ID data freeze 650,8b,"C, H, M, Q",Mendelian autosomal,recessive,1,ACAD9 DEFICIENCY,ACAD9 DEFICIENCY,0,611126,mitochondria,0,0
ACBD6,84320,NULL,ENSG00000135847,12416,23339,1q25.1,0,ID data freeze 650,5,"B, H",Mendelian autosomal,recessive,1,ID with microcephaly and spasticity,ID with microcephaly and spasticity,0,NULL,NULL,0,0
ACO2,50,100850,ENSG00000100412,12,118,22q13.2,1,ID data freeze 650,2,"E, G, H, L2",Mendelian autosomal,recessive,0,INFANTILE CEREBELLAR-RETINAL DEGENERATION,INFANTILE CEREBELLAR-RETINAL DEGENERATION; ICRD,0,614559,mitochondria,0,0
ACOX1,51,609751,ENSG00000161533,2030,119,17q25.1,0,ID data freeze 388,8b,"C, E, G, H, L2, M",Mendelian autosomal,recessive,0,PEROXISOMAL ACYL-COA OXIDASE DEFICIENCY,PEROXISOMAL ACYL-COA OXIDASE DEFICIENCY,0,264470,"mitochondria, peroxisome",0,0
ACSF3,197322,614245,ENSG00000176715,14117,27288,16q24.3,0,ID data freeze 650,8b,"G, H, M",Mendelian autosomal,recessive,0,COMBINED MALONIC AND METHYLMALONIC ACIDURIA,COMBINED MALONIC AND METHYLMALONIC ACIDURIA; CMAMMA,0,614265,mitochondria,0,0
ACSL4,2182,300157,ENSG00000068366,2152,3571,Xq22.3-q23,1,ID data freeze 388,6,NULL,Mendelian X-linked,recessive,0,"MENTAL RETARDATION, X-LINKED","MENTAL RETARDATION, X-LINKED 63; MRX63",0,300387,"mitochondria, nervous system development, peroxisome, transporters",1,1
