RNA GC1,RNA GC2,RNA GC3,RNA GC4,RNA GC5,RNA Soma1,RNA Soma2,RNA Soma3,RNA Soma4,RNA Soma5,Protein GC1,Protein GC2,Protein GC4,Protein GC5,Protein Soma1,Protein Soma2,Protein Soma3,Protein Soma4,Protein Soma5,Protein Soma6,GC [RNA] mean,Soma [RNA] mean,RNA GC/Soma,GC [Protein] mean,Soma [Protein] mean,Protein GC/Soma,RNA GC vs Soma Significant 5% FDR,Protein GC vs Soma significant 5% FDR,GOBP name,GOMF name,GOCC name,RNA deviation (SEM) GC,RNA deviation (SEM) Soma,Protein deviation (SEM) Soma,Prot dev (SEM) GC,Mol. weight [kDa],Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,ENSG
5.457911,3.616148,6.548747,5.353438,6.3837,4.809319,4.245842,4.532221,4.247926,5.339202,-4.774948,-4.503316,NaN,NaN,NaN,2.38972,-0.902155,-0.158295,2.789035,0.4599223,5.4719888,4.634902,0.8370868,-4.639132,0.91564546,-5.55477746,,+,biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,structural constituent of ribosome;structural molecule activity,cell part;cytoplasmic part;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular part;macromolecular complex;non-membrane-bounded organelle;organelle;ribonucleoprotein complex;ribosome,0.611911476,0.212402634,0.719302237,0.135816097,12.441,P83882;A0A0A6YW33,P83882;A0A0A6YW33,60S ribosomal protein L36a,Rpl36a;Gm6525,>sp|P83882|RL36A_MOUSE 60S ribosomal protein L36a OS=Mus musculus GN=Rpl36a PE=1 SV=2;>tr|A0A0A6YW33|A0A0A6YW33_MOUSE MCG18090 OS=Mus musculus GN=Gm6525 PE=4 SV=1,ENSMUSG00000104043;ENSMUSG00000079435;ENSMUSG00000049751
2.970632,2.988925,3.688421,-0.04101925,3.360997,5.913382,5.923472,5.314239,6.484676,5.136166,NaN,-0.3546693,0.7001608,-0.1499548,4.848523,1.702985,4.10256,4.720882,2.075033,0.9833078,2.59359115,5.754387,-3.16079585,0.0651789,3.072215133,-3.007036233,+,+,biological regulation;cell differentiation;cellular developmental process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;circadian regulation of gene expression;circadian rhythm;CRD-mediated mRNA stabilization;developmental process;macromolecule metabolic process;metabolic process;mRNA metabolic process;mRNA processing;mRNA stabilization;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;osteoblast differentiation;posttranscriptional regulation of gene expression;primary metabolic process;regulation of biological process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of mRNA stability;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of RNA stability;rhythmic process;RNA metabolic process;RNA processing;RNA splicing;RNA stabilization,adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;core promoter binding;DNA binding;nucleic acid binding;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;regulatory region DNA binding;regulatory region nucleic acid binding;ribonucleotide binding;transcription regulatory region DNA binding,catalytic step 2 spliceosome;cell part;cell surface;CRD-mediated mRNA stability complex;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane-bounded organelle;nuclear part;nucleoplasm;nucleus;organelle;organelle part;protein complex;ribonucleoprotein complex;spliceosomal complex;viral nucleocapsid;virion part,0.67183274,0.241155371,0.687208831,0.322944015,87.917,Q8VEK3;G3XA10,Q8VEK3;G3XA10,Heterogeneous nuclear ribonucleoprotein U,Hnrnpu;Gm28062,">sp|Q8VEK3|HNRPU_MOUSE Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus GN=Hnrnpu PE=1 SV=1;>tr|G3XA10|G3XA10_MOUSE Heterogeneous nuclear ribonucleoprotein U, isoform CRA_b OS=Mus musculus GN=Gm28062 PE=4 SV=1",ENSMUSG00000100725;ENSMUSG00000039630
-6.639466,-0.5612603,-6.103826,NaN,NaN,-0.4613065,-0.7161502,-1.952355,NaN,NaN,-5.043683,-4.190764,NaN,NaN,-5.361105,NaN,1.367282,-1.591921,NaN,NaN,-4.434850767,-1.043270567,-3.3915802,-4.6172235,-1.861914667,-2.755308833,,,"chromatin silencing at rDNA;biological regulation;cellular component assembly;cellular component assembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex assembly;cellular macromolecular complex subunit organization;cellular process;chromatin assembly or disassembly;chromatin organization;chromatin silencing;chromosome organization;DNA replication-dependent nucleosome assembly;DNA replication-dependent nucleosome organization;gene silencing;macromolecular complex assembly;macromolecular complex subunit organization;negative regulation of biological process;negative regulation of biosynthetic process;negative regulation of cellular biosynthetic process;negative regulation of cellular macromolecule biosynthetic process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of gene expression;negative regulation of gene expression, epigenetic;negative regulation of macromolecule biosynthetic process;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of nitrogen compound metabolic process;negative regulation of nucleobase-containing compound metabolic process;negative regulation of RNA metabolic process;negative regulation of transcription, DNA-dependent;nucleosome assembly;nucleosome organization;organelle organization;protein-DNA complex assembly;protein-DNA complex subunit organization;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of gene expression, epigenetic;regulation of gene silencing;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of transcription, DNA-dependent",binding;DNA binding;nucleic acid binding,cell part;chromosomal part;chromosome;extracellular membrane-bounded organelle;extracellular organelle;extracellular region part;extracellular vesicular exosome;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane-bounded organelle;membrane-bounded vesicle;non-membrane-bounded organelle;nuclear chromosome;nuclear part;nucleoplasm;nucleosome;organelle;organelle part;protein-DNA complex;vesicle,1.942957759,0.460457087,1.947003722,0.426459551,15.404,P68433,P68433,Histone H3.1,Hist1h3a,>sp|P68433|H31_MOUSE Histone H3.1 OS=Mus musculus GN=Hist1h3a PE=1 SV=2,ENSMUSG00000099517;ENSMUSG00000069265;ENSMUSG00000101972;ENSMUSG00000101355
3.127695,1.100061,2.881365,-0.1310395,1.709069,3.870429,3.603083,2.901303,2.489679,3.559168,-4.631903,NaN,NaN,-5.613049,1.290035,3.53379,3.373691,4.635509,3.83943,2.143184,1.7374301,3.2847324,-1.5473023,-5.122476,3.135939833,-8.258415833,,+,cellular component assembly;cellular component assembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex assembly;cellular macromolecular complex subunit organization;cellular process;chromatin organization;chromosome organization;macromolecular complex assembly;macromolecular complex subunit organization;nucleosome assembly;nucleosome organization;organelle organization;protein-DNA complex assembly;protein-DNA complex subunit organization,binding;chromatin binding;chromatin DNA binding;DNA binding;nucleic acid binding;structure-specific DNA binding,actin cytoskeleton;cell part;chromatin;chromosomal part;cytoplasmic part;cytoskeleton;euchromatin;Golgi apparatus;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;non-membrane-bounded organelle;nuclear chromatin;nuclear chromosome part;nuclear euchromatin;nuclear part;nucleoplasm;nucleosome;nucleus;organelle;organelle part;protein-DNA complex,0.597479939,0.254836261,0.495020062,0.490572929,20.861,P10922,P10922,"Histone H1.0;Histone H1.0, N-terminally processed",H1f0,>sp|P10922|H10_MOUSE Histone H1.0 OS=Mus musculus GN=H1f0 PE=2 SV=4,ENSMUSG00000096210
-2.911722,-4.732496,-1.774252,-0.4128596,-0.9434195,-0.932052,-1.23915,-0.2488798,-3.699429,0.31296,-4.583968,-3.905939,NaN,NaN,NaN,0.588455,0.3103222,3.42815,3.123469,-1.750226,-2.15494982,-1.16131016,-0.99363966,-4.2449535,1.14003404,-5.38498754,+,+,,binding;nucleic acid binding;nucleotide binding,catalytic step 2 spliceosome;cell part;intracellular organelle part;intracellular part;macromolecular complex;nuclear part;organelle part;ribonucleoprotein complex;spliceosomal complex,1.19798243,0.588411152,0.962178588,0.33901453,37.14,J3QNY1;B2RXM2;E9Q7H5,J3QNY1;B2RXM2;E9Q7H5,,Gm9242;Gm6793;Gm8991,>tr|J3QNY1|J3QNY1_MOUSE Protein Gm9242 OS=Mus musculus GN=Gm9242 PE=4 SV=1;>tr|B2RXM2|B2RXM2_MOUSE EG627828 protein OS=Mus musculus GN=Gm6793 PE=1 SV=1;>tr|E9Q7H5|E9Q7H5_MOUSE Uncharacterized protein OS=Mus musculus GN=Gm8991 PE=4 SV=1,ENSMUSG00000096156;ENSMUSG00000092086;ENSMUSG00000059179
0.4752195,4.584409,-2.695015,-2.583411,-3.330035,1.594641,-0.433252,-1.937583,-2.876566,-2.799641,-0.2827884,0.02370936,1.265781,-0.2500894,-2.356717,-1.662984,2.367723,0.451373,-0.4842093,-1.618046,-0.7097665,-1.2904802,0.5807137,0.18915314,-0.550476717,0.739629857,,,biological regulation;biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;cellular response to chemical stimulus;cellular response to cytokine stimulus;cellular response to interleukin-4;cellular response to organic substance;cellular response to stimulus;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;positive regulation of catalytic activity;positive regulation of molecular function;positive regulation of transferase activity;primary metabolic process;protein metabolic process;regulation of biological process;regulation of catalytic activity;regulation of metabolic process;regulation of molecular function;regulation of transferase activity;response to chemical stimulus;response to cytokine stimulus;response to interleukin-4;response to organic substance;response to stimulus;translation,binding;enzyme binding;fibroblast growth factor binding;growth factor binding;mRNA binding;nucleic acid binding;protein binding;RNA binding;structural constituent of ribosome;structural molecule activity,adherens junction;anchoring junction;cell junction;cell part;cell-substrate adherens junction;cell-substrate junction;cytoplasm;cytosolic small ribosomal subunit;extracellular membrane-bounded organelle;extracellular organelle;extracellular region part;extracellular vesicular exosome;focal adhesion;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane-bounded organelle;membrane-bounded vesicle;nuclear part;nucleoplasm;nucleus;organelle;organelle part;ribonucleoprotein complex;small ribosomal subunit;vesicle,0.609654605,0.556136966,0.7109586,0.36539501,31.231,P25444;E9Q1N8;F6YTZ4;J3QMG5;D3YVC1;D3YWJ3;D3Z536,P25444;E9Q1N8;F6YTZ4;J3QMG5;D3YVC1;D3YWJ3,40S ribosomal protein S2,Rps2;Gm18025;Gm6576;Gm5786,>sp|P25444|RS2_MOUSE 40S ribosomal protein S2 OS=Mus musculus GN=Rps2 PE=1 SV=3;>tr|E9Q1N8|E9Q1N8_MOUSE Uncharacterized protein OS=Mus musculus GN=Gm18025 PE=3 SV=2;>tr|F6YTZ4|F6YTZ4_MOUSE Protein Gm6576 OS=Mus musculus GN=Gm6576 PE=3 SV=2;>tr|J3QMG5|J3QMG,ENSMUSG00000095406;ENSMUSG00000090544;ENSMUSG00000068604;ENSMUSG00000044533;ENSMUSG00000066487
6.211772,3.145197,6.819431,6.256392,6.00378,6.572572,5.936908,5.895041,6.983155,6.387124,NaN,NaN,0.7913744,1.206955,5.215271,1.118474,5.551194,6.340432,1.332327,4.648022,5.6873144,6.35496,-0.6676456,0.9991647,4.034286667,-3.035121967,,,ATP-dependent chromatin remodeling;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex subunit organization;cellular process;chromatin modification;chromatin organization;chromatin remodeling;chromosome organization;histone exchange;macromolecular complex subunit organization;nucleosome organization;organelle organization,binding;histone binding;protein binding,cell part;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle,0.649734735,0.203630969,0.916392565,0.207790285,12.254,P26350;A0A087WPN6;A0A087WQN2;J3QPK6,P26350;A0A087WPN6,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha",Ptma,>sp|P26350|PTMA_MOUSE Prothymosin alpha OS=Mus musculus GN=Ptma PE=1 SV=2;>tr|A0A087WPN6|A0A087WPN6_MOUSE Prothymosin alpha OS=Mus musculus GN=Ptma PE=1 SV=1,ENSMUSG00000094790;ENSMUSG00000026238
3.181662,-0.1389653,-1.84388,1.574159,-1.455522,1.986906,3.806565,1.398649,2.143423,4.285654,NaN,0.7241136,-0.03330889,-0.7283513,-4.464811,-3.634104,-0.4464363,NaN,NaN,NaN,0.26349074,2.7242394,-2.46074866,-0.01251553,-2.848450433,2.835934903,,,biological regulation;regulation of biological process;regulation of catabolic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of primary metabolic process;regulation of protein catabolic process;regulation of protein metabolic process,enzyme regulator activity,cell part;extracellular membrane-bounded organelle;extracellular organelle;extracellular region part;extracellular vesicular exosome;intracellular part;macromolecular complex;membrane;membrane-bounded organelle;membrane-bounded vesicle;organelle;proteasome accessory complex;proteasome complex;protein complex;vesicle,1.476708084,0.249566793,1.224713922,0.419419378,105.73,Q3TXS7;J3QN38,Q3TXS7,26S proteasome non-ATPase regulatory subunit 1,Psmd1,>sp|Q3TXS7|PSMD1_MOUSE 26S proteasome non-ATPase regulatory subunit 1 OS=Mus musculus GN=Psmd1 PE=1 SV=1,ENSMUSG00000094638;ENSMUSG00000026229
0.2762229,1.292582,1.639469,0.4334284,2.039107,2.835802,2.306223,2.514184,3.080305,2.358462,-3.813518,-5.535123,NaN,NaN,NaN,-0.01932912,-1.679649,-2.326555,-0.08291848,-0.3823728,1.13616186,2.6189952,-1.48283334,-4.6743205,-0.89816488,-3.77615562,+,+,"negative regulation of transcription from RNA polymerase II promoter;apoptosis;biological regulation;cell death;cell differentiation;cell proliferation;cellular developmental process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;death;developmental process;DNA conformation change;DNA duplex unwinding;DNA geometric change;DNA metabolic process;DNA unwinding involved in replication;macromolecule metabolic process;metabolic process;negative regulation of biological process;negative regulation of biosynthetic process;negative regulation of cellular biosynthetic process;negative regulation of cellular macromolecule biosynthetic process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of gene expression;negative regulation of macromolecule biosynthetic process;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of nitrogen compound metabolic process;negative regulation of nucleobase-containing compound metabolic process;negative regulation of RNA metabolic process;negative regulation of transcription, DNA-dependent;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;programmed cell death;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent",binding;DNA binding;double-stranded DNA binding;double-stranded telomeric DNA binding;mRNA binding;nucleic acid binding;nucleic acid binding transcription factor activity;protein binding;regulatory region DNA binding;regulatory region nucleic acid binding;RNA binding;RNA polymerase II regulatory region DNA binding;RNA polymerase II regulatory region sequence-specific DNA binding;sequence-specific DNA binding;sequence-specific DNA binding transcription factor activity;single-stranded DNA binding;SMAD binding;structure-specific DNA binding;telomeric DNA binding;transcription factor binding;transcription regulatory region DNA binding;transcription regulatory region sequence-specific DNA binding,cell part;chromosomal part;DNA replication factor A complex;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;nuclear chromosome part;nuclear part;nucleoplasm;nucleus;organelle;organelle part;protein complex,0.341058999,0.147733107,0.466585279,0.860802412,33.901,O35295,O35295,Transcriptional activator protein Pur-beta,Purb,>sp|O35295|PURB_MOUSE Transcriptional activator protein Pur-beta OS=Mus musculus GN=Purb PE=1 SV=3,ENSMUSG00000094483
-0.1307595,-0.48875,1.824072,5.410251,5.494657,3.173485,2.585392,1.643806,6.651012,3.169428,-4.083961,-2.914903,NaN,NaN,-0.006018283,0.9695456,1.874929,-0.6278824,0.4640648,-0.07153775,2.4218941,3.4446246,-1.0227305,-3.499432,0.433850161,-3.933282161,,+,alcohol metabolic process;anatomical structure development;biosynthetic process;brain development;cellular biosynthetic process;cellular lipid metabolic process;cellular metabolic process;cellular process;cellular response to chemical stimulus;cellular response to cholesterol;cellular response to endogenous stimulus;cellular response to follicle-stimulating hormone stimulus;cellular response to gonadotropin stimulus;cellular response to hormone stimulus;cellular response to lipid;cellular response to organic substance;cellular response to stimulus;cholesterol biosynthetic process;cholesterol metabolic process;developmental process;developmental process involved in reproduction;gonad development;isoprenoid biosynthetic process;isoprenoid metabolic process;lipid biosynthetic process;lipid metabolic process;liver development;male gonad development;metabolic process;organ development;primary metabolic process;reproductive process;reproductive structure development;response to abiotic stimulus;response to chemical stimulus;response to cholesterol;response to drug;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to follicle-stimulating hormone stimulus;response to gonadotropin stimulus;response to hormone stimulus;response to inorganic substance;response to light intensity;response to light stimulus;response to lipid;response to lipoprotein stimulus;response to low light intensity stimulus;response to metal ion;response to nutrient;response to nutrient levels;response to organic cyclic compound;response to organic substance;response to purine-containing compound;response to radiation;response to stimulus;response to tellurium ion;response to vitamin;response to vitamin E;small molecule metabolic process;steroid biosynthetic process;steroid metabolic process;sterol biosynthetic process;sterol metabolic process,"catalytic activity;binding;drug binding;hydroxymethylglutaryl-CoA synthase activity;isomerase activity;organic acid binding;transferase activity;transferase activity, transferring acyl groups;transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer",cell part;cytoplasm;cytoplasmic part;cytosol;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;mitochondrial inner membrane;mitochondrial membrane;mitochondrial part;mitochondrion;nuclear part;nucleoplasm;nucleus;organelle;organelle inner membrane;organelle membrane;organelle part;plasma membrane,0.711883545,0.358989045,0.362434715,0.584529042,57.568,Q8JZK9;P54869,Q8JZK9,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",Hmgcs1,">sp|Q8JZK9|HMCS1_MOUSE Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Mus musculus GN=Hmgcs1 PE=1 SV=1",ENSMUSG00000093930;ENSMUSG00000027875
