Systema(c,Raw,Common,Genbank,Column5,Gene SymboDescrip(on,,
1454859_a_at,12054.89,Rpl23,AV124394,null,Ribosomal protein L23,,
1437196_x_at,11354.61,Rps16,AV216415,null,Ribosomal protein S16,,
1438859_x_at,10832.79,Rps29,AV037157,null,Ribosomal protein S29,,
1450840_a_at,9709.412,2810465O16Rik,AV107150,Rpl39,ribosomal protein L39,,
1451101_a_at,9110.781,Rps28,BC010987,Rps28,ribosomal protein S28,,
1416624_a_at,9036.113,Gm1863,NM_019883,Uba52,ubiqui(n A?52 residue ribosomal protein fusion product 1,,
1433432_x_at,8219.784,Rps12,AI413680,null,Ribosomal protein S12,,
1435873_a_at,8093.249,Rpl13a,AI324936,null,Ribosomal protein L13a,,
1437976_x_at,7301.891,Rpl23a,C87154,null,Ribosomal protein L23a,,
1437185_s_at,6899.294,Tmsb10,AV148480,null,"Thymosin, beta 10",,
1456436_x_at,6577.869,Rps20,AV002845,null,Ribosomal protein S20,,
1455693_x_at,6523.056,Bnc2,AI450929,null,Basonuclin 2,,
1454620_x_at,6471.672,Rps6,AV213405,null,"Transcribed locus, moderately similar to NP_058856.1",,
1436822_x_at,6413.866,D1Ertd84e,AW558862,null,"CDNA, clone:Y1G0147I19, strand:plus, reference:ENSEMBL:Transcript?ENST:ENSMUST00000070455, based on BLAT search",,
1456373_x_at,6246.556,Rps20,AV046829,null,Ribosomal protein S20,,
1460008_x_at,5950.684,Rpl31,AV109882,null,Ribosomal protein L31,,
1436924_x_at,5933.412,Rpl31,AV110835,null,Ribosomal protein L31,,
1428212_x_at,5466.426,MGC106651,BM239931 ,Rpl31,ribosomal protein L31,,
1454778_x_at,5458.508,Rps28,AV206017,null,Ribosomal protein S28,,
1423763_x_at,5269.312,Rps28,BC010987,Rps28,ribosomal protein S28,,
1455485_x_at,5260.099,Rpl13a,AI324936,null,Ribosomal protein L13a,,
1424000_a_at,5226.3,Rps11,U93864,Rps11,ribosomal protein S11,,
1416642_a_at,5048.534,Trt; TCTP,BF608828,Tpt1,"tumor protein, transla(onally?controlled 1",,
1438986_x_at,4725.671,Rps17,AV064451,null,Ribosomal protein S17,,
1449255_a_at,4612.363,MGC107261,NM_025586,Rpl15,ribosomal protein L15,,
1437510_x_at,4522.222,Rps17,BB724547,null,Ribosomal protein S17,,
1418884_x_at,3901.838,Tuba1,NM_011653,Tuba1a,"tubulin, alpha 1A",,
1436840_x_at,3795.359,Rpl35,AV124739,null,Ribosomal protein L35,,
1438794_x_at,3609.323,Rps13,AI642440,null,Ribosomal protein S13,,
1437413_x_at,3584.534,Rps29,AV216244,null,Ribosomal protein S29,,
1435791_x_at,3467.555,CD153,BF228007,Tnfsf8,"tumor necrosis factor (ligand) superfamily, member 8",,
1443843_x_at,3429.194,Rpl9,AV169685,null,"Transcribed locus, weakly similar to XP_362383.1",,
1434624_x_at,3387.196,Rps9,AA762498,null,Ribosomal protein S9,,
1436757_a_at,3319.182,Cox6b1,AV167903,null,"Cytochrome c oxidase, subunit VIb polypep(de 1",,
1415716_a_at,3308.422,3200001M24Rik,AA208652,Rps27,ribosomal protein S27,,
1434358_x_at,3259.037,EG546663,AV124427,Gm5963,"Predicted gene, EG546663",,
1438655_a_at,3148.015,1100001I22Rik,AV057789,Rpl34,RIKEN cDNA 1100001I22 gene,,
1423846_x_at,3021.769,Tuba2,BC008117,Tuba1b,"tubulin, alpha 1B",,
1460581_a_at,2991.327,L13,AI506565,Rpl13,ribosomal protein L13,,
1436699_x_at,2944.349,Abr,BB422726,null,Ac(ve BCR?related gene,,
1434872_x_at,2935.263,Rab14,AV170241,null,"AV170241 Mus musculus head C57BL/6J 13?day embryo Mus musculus cDNA clone 3110094P05, mRNA sequence.",,
1448771_a_at,2878.525,FHC,NM_010239,Fth1,ferri(n heavy chain 1,,
1457434_s_at,2690.152,Ptpla,AV102876,Hacd1,"Protein tyrosine phosphatase?like (proline instead of cataly(c arginine), member a",,
1416074_a_at,2653.776,D7Wsu21e,NM_009081,Rpl28,ribosomal protein L28,,
1415833_x_at,2589.351,Rps29,NM_009093,Rps29,ribosomal protein S29,,
1455950_x_at,2587.861,Rpl35,AV172221,null,Ribosomal protein L35,,
1455245_x_at,2580.954,L13,AI506565,Rpl13,ribosomal protein L13,,
1449196_a_at,2530.483,0610006J14Rik,NM_024277,Rps27a,ribosomal protein S27a,,
1426660_x_at,2520.887,MDA20,BF178310,Rpl23a,ribosomal protein L23a,,
1434231_x_at,2499.641,Rpl35,AV124680,null,Ribosomal protein L35,,
1419364_a_at,2465.452,S7,NM_011300,Rps7,ribosomal protein S7,,
1416404_s_at,2398.875,AA420385,NM_013647,Rps16,ribosomal protein S16,,
1426659_a_at,2352.294,MDA20,BF178310,Rpl23a,ribosomal protein L23a,,
1434396_a_at,2325.473,Myl6,AU017189,null,"Myosin, light polypep(de 6, alkali, smooth muscle and non?muscle",,
1417417_a_at,2246.716,VIaL,NM_007748,Cox6a1,"cytochrome c oxidase, subunit VI a, polypep(de 1",,
1448245_at,2197.512,MLR,NM_011029,Rpsa,ribosomal protein SA,,
1439459_x_at,2137.469,Actb,BB276877,null,"BB276877 RIKEN full?length enriched, 10 days neonate cortex cDNA clone A830099I22 3' similar to ATP citrate?lyase",,
1453118_s_at,2102.179,2700038K18Rik,BB859781,Rpl22,ribosomal protein L22,,
1454627_a_at,2050.264,Ldlrad3,AV110871,null,Low density lipoprotein receptor class A domain containing 3,,
1437610_x_at,1921.753,Mdm4,AA419672,null,Transformed mouse 3T3 cell double minute 4,,
1455138_x_at,1688.483,Cfl1,AV148266,null,"Cofilin 1, non?muscle",,
1416277_a_at,1630.962,Arpp1,NM_018853,Rplp1,"ribosomal protein, large, P1",,
1448157_s_at,1628.157,QM,NM_052835,Rpl10,ribosomal protein 10,,
1455572_x_at,1627.388,Rps18,AI415136,null,Ribosomal protein S18,,
1433569_x_at,1609.391,Ran,AW907805,null,"RAN, member RAS oncogene family",,
1436995_a_at,1606.109,Rpl26,AV124660,null,Ribosomal protein L26,,
1433472_x_at,1586.153,Rpl38,AA050777,null,Ribosomal protein L38,,
1428152_a_at,1571.941,2510019J09Rik,BF577616,Rpl18a,Ribosomal protein L18A,,
1428405_at,1521.567,Hcfc1r1,BF580567,null,Host cell factor C1 regulator 1 (XPO1?dependent),,
1431765_a_at,1518.698,Llrep3,AK004568,Rps2,ribosomal protein S2,,
1448808_a_at,1512.01,NM23B,NM_008705,Nme2,"expressed in non?metasta(c cells 2, protein",,
1434291_a_at,1486.253,Serf1,AA709993,null,Small EDRK?rich factor 1,,
1431766_x_at,1482.06,Llrep3,AK004568,Rps2,ribosomal protein S2,,
1426661_at,1472.08,L27A,BG807647,Rpl27a,ribosomal protein L27a,,
1431177_a_at,1468.508,Rpl10a,AK002613,null,"adult male kidney cDNA, RIKEN full?length enriched library, clone:0610012K10 product:ribosomal protein L10A",,
1434491_a_at,1462.549,Cox6c,AV111078,null,"Cytochrome c oxidase, subunit VIc",,
1438649_x_at,1435.992,Pbp,AV207950,Pebp1,AV207950 RIKEN full?length enriched male tes(s cDNA clone similar to phospha(dylethanolamine binding protein,,
1455897_x_at,1400.883,Hmgn1,BF464696,null,High mobility group nucleosomal binding domain 1,,
1455815_a_at,1376.098,Ywhab,AV021552,null,"Tyrosine 3?monooxygenase/tryptophan 5?monooxygenase ac(va(on protein, beta polypep(de",,
1448252_a_at,1322.615,Eef1b,NM_018796,Eef1b2,eukaryo(c transla(on elonga(on factor 1 beta 2,,
1438940_x_at,1313.842,Hmgn1,AV170171,null,Transcribed locus,,
1449436_s_at,1290.595,Ubb2,NM_011664,Ubb,ubiqui(n B,,
1436946_s_at,1255.813,Gng5,AV216608,null,"AV216608 RIKEN full?length enriched, ES cells cDNA clone 2410165B21 3' similar to G protein gamma?5 subunit mRNA",,
1455662_x_at,1234.102,Rps17,AV117525,null,"AV117525 Mus musculus C57BL/6J 10?day embryo Mus musculus cDNA clone 2610203J23, mRNA sequence.",,
1435151_a_at,1233.681,Rs_3,AW108231 ,Rps3,ribosomal protein S3,,
1453096_x_at,1218.422,MGC103134,AV111459,Rpl27,ribosomal protein L27,,
1439270_x_at,1165.626,Ran,AV116470,null,"RAN, member RAS oncogene family",,
1459986_a_at,1154.01,MGC107578,NM_009092,Rps17,ribosomal protein S17,,
1460561_x_at,1138.65,Sepw1,BB464434,Selenow,"Selenoprotein W, muscle 1",,
1447896_s_at,1132.387,2010109N14Rik,AV066512,Snhg8,RIKEN cDNA 2010109N14 gene,,
1455319_x_at,1130.914,Rps8,AU016948,null,Ribosomal protein S8,,
1434578_x_at,1110.267,Ran,BI714963,null,"RAN, member RAS oncogene family",,
1424017_a_at,1095.761,Hint,U60001,Hint1,his(dine triad nucleo(de binding protein 1,,
1435712_a_at,1078.159,Rps18,AW907444,null,Ribosomal protein S18,,
1459766_x_at,1068.347,Sf1,BB055869,null,Splicing factor 1,,
1438977_x_at,1037.912,Ran,AV045569,null,"AV045569 Mus musculus adult C57BL/6J tes(s Mus musculus cDNA clone 1700047H13, mRNA sequence.",,
1454813_at,1027.585,MGC117874,BG295413,Ccdc72,coiled?coil domain containing 72,,
1455767_x_at,1002.923,Rpl21,AV005827,null,Ribosomal protein L21,,
1428161_a_at,992.7195,Etohi6,BI694986,Chchd2,coiled?coil?helix?coiled?coil?helix domain containing 2,,
1440779_s_at,986.1078,Txndc11,BB502156,null,"BB502156 RIKEN full?length enriched, 0 day neonate kidney Mus musculus cDNA clone D630038B13 3', mRNA sequence.",,
1415933_a_at,982.0518,CcOX,NM_007747,Cox5a,"cytochrome c oxidase, subunit Va",,
1415701_x_at,981.0341,2810009A01Rik,BC025918,Rpl23,ribosomal protein L23,,
1435113_x_at,967.3842,Stmn3,AV007850,null,Stathmin?like 3,,
